"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2012/10/14","00:00","2.073","-","2.11"
"2012/10/14","01:00","1.58","-","1.64"
"2012/10/14","02:00","0.642","-","0.81"
"2012/10/14","03:00","-0.53","-","-0.19"
"2012/10/14","04:00","-1.65","-","-1.27"
"2012/10/14","05:00","-2.378","-","-2.05"
"2012/10/14","06:00","-2.464","-","-2.24"
"2012/10/14","07:00","-1.939","-","-1.79"
"2012/10/14","08:00","-0.99","-","-0.99"
"2012/10/14","09:00","0.206","-","0.05"
"2012/10/14","10:00","1.384","-","1.05"
"2012/10/14","11:00","2.219","-","1.69"
"2012/10/14","12:00","2.525","-","1.98"
"2012/10/14","13:00","2.244","-","1.85"
"2012/10/14","14:00","1.408","-","0.99"
"2012/10/14","15:00","0.193","-","-0.21"
"2012/10/14","16:00","-1.116","-","-1.62"
"2012/10/14","17:00","-2.165","-","-2.78"
"2012/10/14","18:00","-2.62","-","-3.3"
"2012/10/14","19:00","-2.38","-","-3.15"
"2012/10/14","20:00","-1.608","-","-2.47"
"2012/10/14","21:00","-0.507","-","-1.38"
"2012/10/14","22:00","0.686","-","-0.04"
"2012/10/14","23:00","1.647","-","1.02"
"2012/10/15","00:00","2.136","-","1.56"
"2012/10/15","01:00","2.067","-","1.47"
"2012/10/15","02:00","1.435","-","0.9"
"2012/10/15","03:00","0.358","-","-0.1"
"2012/10/15","04:00","-0.91","-","-1.47"
"2012/10/15","05:00","-2.042","-","-2.7"
"2012/10/15","06:00","-2.675","-","-3.4"
"2012/10/15","07:00","-2.587","-","-3.37"
"2012/10/15","08:00","-1.856","-","-2.67"
"2012/10/15","09:00","-0.706","-","-1.57"
"2012/10/15","10:00","0.63","-","-0.25"
"2012/10/15","11:00","1.841","-","0.97"
"2012/10/15","12:00","2.621","-","1.85"
"2012/10/15","13:00","2.816","-","2.13"
"2012/10/15","14:00","2.378","-","1.83"
"2012/10/15","15:00","1.362","-","0.97"
"2012/10/15","16:00","-0.007","-","-0.38"
"2012/10/15","17:00","-1.404","-","-1.78"
"2012/10/15","18:00","-2.451","-","-2.87"
"2012/10/15","19:00","-2.816","-","-3.22"
"2012/10/15","20:00","-2.443","-","-2.83"
"2012/10/15","21:00","-1.54","-","-1.99"
"2012/10/15","22:00","-0.351","-","-0.71"
"2012/10/15","23:00","0.853","-","0.59"
"2012/10/16","00:00","1.757","-","1.54"
"2012/10/16","01:00","2.154","-","2"
"2012/10/16","02:00","1.969","-","1.96"
"2012/10/16","03:00","1.209","-","1.24"
"2012/10/16","04:00","0.032","-","0.09"
"2012/10/16","05:00","-1.275","-","-1.13"
"2012/10/16","06:00","-2.363","-","-2.42"
"2012/10/16","07:00","-2.858","-","-3.03"
"2012/10/16","08:00","-2.575","-","-2.79"
"2012/10/16","09:00","-1.654","-","-1.92"
"2012/10/16","10:00","-0.368","-","-0.67"
